date,route,delivered_qty,transport_cost,on_time_rate
2025-08-06,NORTE,188,904.43,1.0
2025-08-06,CENTRO,256,759.67,0.811
2025-08-06,SUR,328,808.88,0.901
2025-08-07,NORTE,198,829.71,0.888
2025-08-07,CENTRO,171,717.97,0.897
2025-08-07,SUR,172,693.07,0.909
2025-08-08,NORTE,187,1025.6,0.688
2025-08-08,CENTRO,254,986.91,0.734
2025-08-08,SUR,182,744.28,0.787
2025-08-09,NORTE,161,633.41,1.0
2025-08-09,CENTRO,246,990.73,0.958
2025-08-09,SUR,143,721.32,0.939
2025-08-10,NORTE,138,906.95,0.881
2025-08-10,CENTRO,181,906.64,0.936
2025-08-10,SUR,181,973.9,0.814
2025-08-11,NORTE,230,888.97,0.875
2025-08-11,CENTRO,216,612.33,0.974
2025-08-11,SUR,190,721.59,0.984
2025-08-12,NORTE,164,588.73,0.775
2025-08-12,CENTRO,230,607.94,1.0
2025-08-12,SUR,95,1054.47,0.917
2025-08-13,NORTE,195,718.26,0.932
2025-08-13,CENTRO,198,965.5,0.909
2025-08-13,SUR,207,745.46,0.895
2025-08-14,NORTE,215,543.47,0.792
2025-08-14,CENTRO,237,825.63,0.885
2025-08-14,SUR,200,852.14,0.857
2025-08-15,NORTE,161,829.38,0.822
2025-08-15,CENTRO,220,544.61,0.982
2025-08-15,SUR,223,838.4,0.979
2025-08-16,NORTE,283,952.16,0.753
2025-08-16,CENTRO,136,706.28,0.902
2025-08-16,SUR,225,691.14,0.915
2025-08-17,NORTE,162,708.27,0.787
2025-08-17,CENTRO,153,597.25,0.822
2025-08-17,SUR,252,657.59,1.0
2025-08-18,NORTE,224,827.73,0.831
2025-08-18,CENTRO,235,713.65,0.91
2025-08-18,SUR,328,785.59,0.992
2025-08-19,NORTE,164,794.75,1.0
2025-08-19,CENTRO,168,1071.87,0.957
2025-08-19,SUR,171,894.86,0.978
2025-08-20,NORTE,231,564.47,0.842
2025-08-20,CENTRO,187,788.83,0.95
2025-08-20,SUR,208,599.7,0.93
2025-08-21,NORTE,230,883.97,0.986
2025-08-21,CENTRO,241,868.88,0.894
2025-08-21,SUR,116,864.44,0.917
2025-08-22,NORTE,213,608.49,0.814
2025-08-22,CENTRO,252,794.07,0.955
2025-08-22,SUR,201,804.46,0.975
2025-08-23,NORTE,174,814.42,0.863
2025-08-23,CENTRO,178,753.62,0.918
2025-08-23,SUR,176,988.36,0.828
2025-08-24,NORTE,190,734.04,1.0
2025-08-24,CENTRO,209,954.78,0.781
2025-08-24,SUR,213,933.44,0.907
2025-08-25,NORTE,253,722.41,1.0
2025-08-25,CENTRO,314,745.57,0.864
2025-08-25,SUR,272,1036.94,0.858
2025-08-26,NORTE,178,757.73,0.792
2025-08-26,CENTRO,154,649.38,0.839
2025-08-26,SUR,198,835.13,1.0
2025-08-27,NORTE,150,947.65,0.883
2025-08-27,CENTRO,197,901.22,0.81
2025-08-27,SUR,219,824.97,0.939
2025-08-28,NORTE,214,1168.3,0.849
2025-08-28,CENTRO,173,706.53,0.856
2025-08-28,SUR,168,978.35,1.0
2025-08-29,NORTE,171,675.15,0.938
2025-08-29,CENTRO,172,894.94,0.916
2025-08-29,SUR,124,1032.13,1.0
2025-08-30,NORTE,169,741.84,0.923
2025-08-30,CENTRO,216,898.78,1.0
2025-08-30,SUR,191,680.26,0.79
2025-08-31,NORTE,163,795.03,1.0
2025-08-31,CENTRO,174,833.57,0.899
2025-08-31,SUR,259,1179.04,0.858
2025-09-01,NORTE,175,956.62,0.955
2025-09-01,CENTRO,292,887.59,0.871
2025-09-01,SUR,229,966.31,0.966
2025-09-02,NORTE,225,960.0,0.994
2025-09-02,CENTRO,269,897.31,0.887
2025-09-02,SUR,207,980.98,0.835
2025-09-03,NORTE,218,741.0,0.902
2025-09-03,CENTRO,263,828.66,0.904
2025-09-03,SUR,132,911.94,0.952
2025-09-04,NORTE,308,753.83,0.918
2025-09-04,CENTRO,212,1036.62,0.892
2025-09-04,SUR,213,891.18,0.915
2025-09-05,NORTE,177,829.11,0.986
2025-09-05,CENTRO,148,819.95,0.844
2025-09-05,SUR,259,571.52,0.855
2025-09-06,NORTE,218,1034.83,0.895
2025-09-06,CENTRO,172,1082.17,0.784
2025-09-06,SUR,90,866.0,0.86
2025-09-07,NORTE,148,906.25,0.92
2025-09-07,CENTRO,171,607.95,0.97
2025-09-07,SUR,232,785.12,1.0
2025-09-08,NORTE,146,571.17,0.845
2025-09-08,CENTRO,197,836.5,0.881
2025-09-08,SUR,217,612.27,1.0
2025-09-09,NORTE,195,967.59,0.927
2025-09-09,CENTRO,222,885.47,0.936
2025-09-09,SUR,232,999.37,0.916
2025-09-10,NORTE,235,786.54,1.0
2025-09-10,CENTRO,166,1070.14,0.897
2025-09-10,SUR,128,819.22,0.846
2025-09-11,NORTE,242,702.11,0.864
2025-09-11,CENTRO,105,732.15,0.706
2025-09-11,SUR,120,914.06,0.963
2025-09-12,NORTE,221,654.95,0.896
2025-09-12,CENTRO,199,626.25,1.0
2025-09-12,SUR,243,766.86,0.902
2025-09-13,NORTE,210,493.74,0.88
2025-09-13,CENTRO,165,649.76,0.878
2025-09-13,SUR,289,896.13,0.854
2025-09-14,NORTE,228,1009.9,0.974
2025-09-14,CENTRO,202,702.96,0.956
2025-09-14,SUR,219,934.28,0.951
2025-09-15,NORTE,252,719.71,1.0
2025-09-15,CENTRO,209,1111.29,0.845
2025-09-15,SUR,286,829.69,0.848
2025-09-16,NORTE,175,751.95,0.934
2025-09-16,CENTRO,226,713.94,0.898
2025-09-16,SUR,307,1059.13,0.935
2025-09-17,NORTE,201,818.0,0.949
2025-09-17,CENTRO,148,761.39,0.767
2025-09-17,SUR,219,897.08,0.861
2025-09-18,NORTE,278,616.14,0.783
2025-09-18,CENTRO,211,957.06,1.0
2025-09-18,SUR,177,961.8,0.897
2025-09-19,NORTE,191,932.55,0.952
2025-09-19,CENTRO,121,1021.48,1.0
2025-09-19,SUR,168,859.37,0.94
2025-09-20,NORTE,213,717.45,0.846
2025-09-20,CENTRO,198,975.91,0.943
2025-09-20,SUR,181,915.75,0.672
2025-09-21,NORTE,257,539.04,0.871
2025-09-21,CENTRO,144,605.8,0.993
2025-09-21,SUR,176,851.98,0.896
2025-09-22,NORTE,223,811.52,0.797
2025-09-22,CENTRO,249,725.94,0.775
2025-09-22,SUR,178,1025.11,0.968
2025-09-23,NORTE,182,747.61,0.874
2025-09-23,CENTRO,303,857.29,0.934
2025-09-23,SUR,251,835.82,0.879
2025-09-24,NORTE,190,789.26,0.897
2025-09-24,CENTRO,236,807.79,0.959
2025-09-24,SUR,195,811.8,0.74
2025-09-25,NORTE,245,851.97,0.98
2025-09-25,CENTRO,55,1113.26,0.889
2025-09-25,SUR,255,644.01,0.949
2025-09-26,NORTE,147,706.43,1.0
2025-09-26,CENTRO,190,832.61,0.97
2025-09-26,SUR,224,822.56,0.929
2025-09-27,NORTE,320,791.36,0.916
2025-09-27,CENTRO,252,965.83,0.995
2025-09-27,SUR,231,628.55,1.0
2025-09-28,NORTE,142,845.4,0.84
2025-09-28,CENTRO,196,849.31,0.926
2025-09-28,SUR,221,1042.06,0.936
2025-09-29,NORTE,187,944.61,0.995
2025-09-29,CENTRO,138,889.61,0.956
2025-09-29,SUR,185,1006.36,0.888
2025-09-30,NORTE,206,774.04,0.901
2025-09-30,CENTRO,145,583.99,1.0
2025-09-30,SUR,157,651.29,0.728
