date,sku,orders,produced_qty,oee,materials_consumed
2025-08-06,SKU-A,87,128,0.77,153
2025-08-06,SKU-B,103,94,0.8,112
2025-08-06,SKU-C,50,55,0.818,59
2025-08-07,SKU-A,136,103,0.597,114
2025-08-07,SKU-B,72,76,0.802,84
2025-08-07,SKU-C,64,40,0.736,46
2025-08-08,SKU-A,99,110,0.788,128
2025-08-08,SKU-B,74,102,0.8,116
2025-08-08,SKU-C,54,59,0.706,62
2025-08-09,SKU-A,140,127,0.691,146
2025-08-09,SKU-B,89,72,0.794,89
2025-08-09,SKU-C,38,67,0.709,73
2025-08-10,SKU-A,86,111,0.854,122
2025-08-10,SKU-B,101,91,0.821,108
2025-08-10,SKU-C,38,52,0.758,63
2025-08-11,SKU-A,104,139,0.768,154
2025-08-11,SKU-B,66,100,0.875,122
2025-08-11,SKU-C,66,59,0.848,68
2025-08-12,SKU-A,104,119,0.89,137
2025-08-12,SKU-B,104,89,0.681,102
2025-08-12,SKU-C,47,58,0.805,65
2025-08-13,SKU-A,103,133,0.765,143
2025-08-13,SKU-B,110,102,0.803,123
2025-08-13,SKU-C,65,61,0.758,65
2025-08-14,SKU-A,50,112,0.678,135
2025-08-14,SKU-B,80,94,0.752,105
2025-08-14,SKU-C,45,58,0.808,66
2025-08-15,SKU-A,73,145,0.779,160
2025-08-15,SKU-B,94,90,0.95,95
2025-08-15,SKU-C,51,57,0.74,65
2025-08-16,SKU-A,94,140,0.833,153
2025-08-16,SKU-B,110,108,0.878,124
2025-08-16,SKU-C,77,51,0.74,53
2025-08-17,SKU-A,105,135,0.781,147
2025-08-17,SKU-B,96,75,0.813,89
2025-08-17,SKU-C,46,58,0.753,62
2025-08-18,SKU-A,146,134,0.694,162
2025-08-18,SKU-B,81,124,0.757,152
2025-08-18,SKU-C,72,62,0.835,69
2025-08-19,SKU-A,143,104,0.823,110
2025-08-19,SKU-B,88,93,0.73,97
2025-08-19,SKU-C,72,49,0.853,53
2025-08-20,SKU-A,132,102,0.835,113
2025-08-20,SKU-B,102,107,0.81,124
2025-08-20,SKU-C,67,57,0.727,62
2025-08-21,SKU-A,126,115,0.865,132
2025-08-21,SKU-B,68,86,0.95,93
2025-08-21,SKU-C,55,68,0.783,73
2025-08-22,SKU-A,111,115,0.83,121
2025-08-22,SKU-B,99,99,0.748,111
2025-08-22,SKU-C,65,55,0.84,59
2025-08-23,SKU-A,156,121,0.824,129
2025-08-23,SKU-B,101,90,0.7,110
2025-08-23,SKU-C,73,69,0.713,76
2025-08-24,SKU-A,114,129,0.816,157
2025-08-24,SKU-B,85,101,0.881,119
2025-08-24,SKU-C,43,68,0.826,83
2025-08-25,SKU-A,93,92,0.792,97
2025-08-25,SKU-B,78,121,0.649,133
2025-08-25,SKU-C,52,60,0.717,69
2025-08-26,SKU-A,171,107,0.828,125
2025-08-26,SKU-B,100,114,0.875,141
2025-08-26,SKU-C,51,41,0.793,49
2025-08-27,SKU-A,153,89,0.726,96
2025-08-27,SKU-B,102,83,0.734,96
2025-08-27,SKU-C,76,71,0.806,83
2025-08-28,SKU-A,108,92,0.746,103
2025-08-28,SKU-B,68,115,0.779,131
2025-08-28,SKU-C,75,57,0.693,64
2025-08-29,SKU-A,102,143,0.771,168
2025-08-29,SKU-B,81,105,0.781,124
2025-08-29,SKU-C,58,60,0.825,69
2025-08-30,SKU-A,130,148,0.693,168
2025-08-30,SKU-B,83,90,0.811,110
2025-08-30,SKU-C,67,62,0.736,65
2025-08-31,SKU-A,105,111,0.736,132
2025-08-31,SKU-B,74,102,0.802,122
2025-08-31,SKU-C,48,67,0.819,81
2025-09-01,SKU-A,97,119,0.788,133
2025-09-01,SKU-B,77,105,0.889,126
2025-09-01,SKU-C,54,71,0.781,79
2025-09-02,SKU-A,99,135,0.761,167
2025-09-02,SKU-B,53,91,0.822,107
2025-09-02,SKU-C,42,55,0.864,66
2025-09-03,SKU-A,97,131,0.824,139
2025-09-03,SKU-B,117,89,0.634,109
2025-09-03,SKU-C,64,52,0.758,56
2025-09-04,SKU-A,118,144,0.75,174
2025-09-04,SKU-B,106,83,0.796,88
2025-09-04,SKU-C,73,55,0.734,58
2025-09-05,SKU-A,106,125,0.883,141
2025-09-05,SKU-B,84,89,0.732,95
2025-09-05,SKU-C,62,62,0.722,74
2025-09-06,SKU-A,93,121,0.679,148
2025-09-06,SKU-B,94,93,0.781,99
2025-09-06,SKU-C,61,60,0.939,71
2025-09-07,SKU-A,111,158,0.726,184
2025-09-07,SKU-B,99,103,0.678,112
2025-09-07,SKU-C,34,40,0.743,46
2025-09-08,SKU-A,137,126,0.82,136
2025-09-08,SKU-B,84,72,0.908,89
2025-09-08,SKU-C,43,57,0.801,64
2025-09-09,SKU-A,111,117,0.867,132
2025-09-09,SKU-B,90,89,0.798,111
2025-09-09,SKU-C,53,60,0.783,72
2025-09-10,SKU-A,126,91,0.684,107
2025-09-10,SKU-B,89,69,0.869,74
2025-09-10,SKU-C,75,78,0.788,95
2025-09-11,SKU-A,89,157,0.903,192
2025-09-11,SKU-B,101,86,0.884,93
2025-09-11,SKU-C,67,69,0.657,77
2025-09-12,SKU-A,61,117,0.794,141
2025-09-12,SKU-B,85,111,0.683,135
2025-09-12,SKU-C,37,67,0.76,83
2025-09-13,SKU-A,111,82,0.774,96
2025-09-13,SKU-B,94,88,0.703,98
2025-09-13,SKU-C,51,59,0.847,69
2025-09-14,SKU-A,100,111,0.723,118
2025-09-14,SKU-B,86,88,0.708,96
2025-09-14,SKU-C,57,39,0.773,47
2025-09-15,SKU-A,134,107,0.795,131
2025-09-15,SKU-B,95,81,0.728,88
2025-09-15,SKU-C,49,57,0.619,66
2025-09-16,SKU-A,90,80,0.84,98
2025-09-16,SKU-B,112,131,0.858,140
2025-09-16,SKU-C,46,37,0.723,41
2025-09-17,SKU-A,119,108,0.704,115
2025-09-17,SKU-B,97,102,0.854,117
2025-09-17,SKU-C,51,60,0.72,70
2025-09-18,SKU-A,97,148,0.753,166
2025-09-18,SKU-B,85,102,0.914,114
2025-09-18,SKU-C,54,61,0.755,65
2025-09-19,SKU-A,94,108,0.746,117
2025-09-19,SKU-B,97,82,0.605,102
2025-09-19,SKU-C,59,57,0.716,70
2025-09-20,SKU-A,101,124,0.729,146
2025-09-20,SKU-B,102,91,0.833,105
2025-09-20,SKU-C,44,53,0.74,60
2025-09-21,SKU-A,77,90,0.783,96
2025-09-21,SKU-B,90,100,0.7,114
2025-09-21,SKU-C,49,54,0.783,60
2025-09-22,SKU-A,132,133,0.857,155
2025-09-22,SKU-B,88,56,0.724,62
2025-09-22,SKU-C,75,60,0.814,73
2025-09-23,SKU-A,106,126,0.751,137
2025-09-23,SKU-B,104,85,0.818,98
2025-09-23,SKU-C,53,67,0.757,75
2025-09-24,SKU-A,60,143,0.733,158
2025-09-24,SKU-B,81,90,0.897,98
2025-09-24,SKU-C,58,67,0.842,78
2025-09-25,SKU-A,126,93,0.86,100
2025-09-25,SKU-B,86,106,0.848,128
2025-09-25,SKU-C,75,55,0.721,60
2025-09-26,SKU-A,133,127,0.756,154
2025-09-26,SKU-B,77,86,0.711,104
2025-09-26,SKU-C,68,55,0.847,64
2025-09-27,SKU-A,88,127,0.911,139
2025-09-27,SKU-B,100,83,0.792,93
2025-09-27,SKU-C,59,65,0.776,70
2025-09-28,SKU-A,115,167,0.766,204
2025-09-28,SKU-B,89,91,0.831,108
2025-09-28,SKU-C,43,63,0.798,73
2025-09-29,SKU-A,111,148,0.744,183
2025-09-29,SKU-B,94,100,0.95,112
2025-09-29,SKU-C,67,58,0.75,70
2025-09-30,SKU-A,129,78,0.764,87
2025-09-30,SKU-B,65,85,0.897,93
2025-09-30,SKU-C,41,58,0.78,65
